price_usd,Name,ISD link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence
7.05,"Laroche, Le Petit Chardonnay, Low Alcohol, Languedoc",https://www.i-d-s.com/dubai/laroche-le-petit-chardonnay-low-alcohol-languedoc-fr1396.html,france,/FR/en/domaine-preignes-le-vieux-maison-robert-vic-le-petit-pont-reserve-rouge/w/1195801?price_id=34435786,3.5,Le Petit Pont Réserve Rouge,-,France,Pays d'Oc,3177,41
18.95,Domaine Laroche Petit Chablis,https://www.i-d-s.com/dubai/domaine-laroche-petit-chablis-fr1397.html,france,/FR/en/domaine-preignes-le-vieux-maison-robert-vic-le-petit-pont-reserve-rouge/w/1195801?price_id=34435786,3.5,Le Petit Pont Réserve Rouge,-,France,Pays d'Oc,3177,36
40.4,Nicolas Feuillatte Brut,https://www.i-d-s.com/dubai/nicolas-feuillatte-brut-cp1066.html,france,/FR/en/domaine-preignes-le-vieux-maison-robert-vic-le-petit-pont-reserve-rouge/w/1195801?price_id=34435786,3.5,Le Petit Pont Réserve Rouge,-,France,Pays d'Oc,3177,40
71.7,Chateau Fleur de Pedesclaux,https://www.i-d-s.com/dubai/chateau-fleur-de-pedesclaux-fr1399.html,france,/FR/en/domaine-preignes-le-vieux-maison-robert-vic-le-petit-pont-reserve-rouge/w/1195801?price_id=34435786,3.5,Le Petit Pont Réserve Rouge,-,France,Pays d'Oc,3177,33
34.3,Domaine Cailbourdin Pouilly Fume ‘Les Racines’,https://www.i-d-s.com/dubai/domaine-cailbourdin-pouilly-fume-les-racines-fr1380.html,france,/FR/en/domaine-preignes-le-vieux-maison-robert-vic-le-petit-pont-reserve-rouge/w/1195801?price_id=34435786,3.5,Le Petit Pont Réserve Rouge,-,France,Pays d'Oc,3177,33
113.95,2018 Chateau Croix Mouton,https://www.i-d-s.com/dubai/2018-chateau-croix-mouton-fw1253.html,france,/FR/en/domaine-preignes-le-vieux-maison-robert-vic-le-petit-pont-reserve-rouge/w/1195801?price_id=34435786,3.5,Le Petit Pont Réserve Rouge,-,France,Pays d'Oc,3177,27
"1,517.25","2010 Château Beychevelle, 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2010-ch-teau-beychevelle-4-me-cru-class-saint-julien-fw1225.html,france,/FR/en/chateau-beychevelle-saint-julien-grand-cru-classe/w/23627?year=2010&amp;price_id=35532397,4.3,Saint-Julien (Grand Cru Classé) 2010,-,France,Saint-Julien,1674,37
"3,680.55","2016 Château Angelus, 1er Grand Cru Classé, Saint Emilion",https://www.i-d-s.com/dubai/2016-ch-teau-angelus-1er-grand-cru-class-saint-emilion-fw1224.html,france,/FR/en/chateau-angelus-saint-emilion-grand-cru-premier-grand-cru-classe/w/10175?year=2010&amp;price_id=34748705,4.6,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,-,France,Saint-Émilion Grand Cru,1110,46
350.45,"2020 Sarget D Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-saint-julien-fw1249.html,france,/FR/en/chateau-gruaud-larose-saint-julien-grand-cru-classe/w/79265?year=2010&amp;price_id=35554682,4.3,Saint-Julien (Grand Cru Classé) 2010,-,France,Saint-Julien,1466,34
734.45,2017 Château Les Ormes de Pez Cru Bourgeois Saint Estephe,https://www.i-d-s.com/dubai/2017-ch-teau-les-ormes-de-pez-cru-bourgeois-saint-estephe-fw1248.html,france,/FR/en/chateau-gruaud-larose-saint-julien-grand-cru-classe/w/79265?year=2010&amp;price_id=35554682,4.3,Saint-Julien (Grand Cru Classé) 2010,-,France,Saint-Julien,1466,32
24.8,"Clos l'Hermitage, Lalande de Pomerol",https://www.i-d-s.com/dubai/clos-l-hermitage-lalande-de-pomerol-fr1320.html,france,/FR/en/chateau-gruaud-larose-saint-julien-grand-cru-classe/w/79265?year=2010&amp;price_id=35554682,4.3,Saint-Julien (Grand Cru Classé) 2010,-,France,Saint-Julien,1466,31
13.2,"Château des Antonins, Bordeaux Supérieur",https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-sup-rieur-fr1332.html,france,/FR/en/chateau-des-antonins-bordeaux-superieur/w/1227587?price_id=37140070,3.6,Bordeaux Supérieur,-,France,Bordeaux Supérieur,1132,62
23.05,"Château Mouras Graves, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-mouras-graves-bordeaux-fr1337.html,france,/FR/en/chateau-les-graves-du-champ-des-chails-blaye-cotes-de-bordeaux/w/1419568,3.4,Blaye - Côtes de Bordeaux,-,France,Blaye - Côtes de Bordeaux,1040,54
72.3,"Baron Philippe de Rothschild, Mouton Cadet Blanc",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mini-mouton-cadet-blanc-mw1000.html,france,/FR/en/baron-philippe-de-rothschild-sa-bordeaux-blanc/w/1510613,3.4,Bordeaux Blanc,-,France,Bordeaux,4489,35
68.4,"Baron Philippe de Rothschild, Mouton Cadet Rouge",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-rouge-mw1001.html,france,/FR/en/baron-philippe-de-rothschild-sa-bordeaux-rouge/w/1141777?price_id=31759885,3.4,Bordeaux Rouge,-,France,Bordeaux,13802,35
109.45,Taittinger Rose including 2 glasses,https://www.i-d-s.com/dubai/taittinger-rose-including-2-glasses-zz11289.html,france,/FR/en/baron-philippe-de-rothschild-sa-bordeaux-rouge/w/1141777?price_id=31759885,3.4,Bordeaux Rouge,-,France,Bordeaux,13802,29
"1,725.70",2016 Domaine de Chevalier Grand Cru Classe de Graves,https://www.i-d-s.com/dubai/2016-domaine-de-chevalier-grand-cru-classe-de-graves-fw1238.html,france,/FR/en/baron-philippe-de-rothschild-sa-bordeaux-rouge/w/1141777?price_id=31759885,3.4,Bordeaux Rouge,-,France,Bordeaux,13802,27
22.4,"Chateau Delmond, Sauternes",https://www.i-d-s.com/dubai/chateau-delmond-sauternes-dw1005.html,france,/FR/en/laville-chateau-delmond-sauternes/w/1441662?year=2022&amp;price_id=34244632,4.1,Château Delmond Sauternes 2022,-,France,Sauternes,38,86
14.99,Langlois Cremant de Loire l’Extra,https://www.i-d-s.com/dubai/langlois-ch-teau-cr-mant-de-loire-l-extra-sw1002.html,france,/FR/en/langlois-cremant-de-loire-l-extra/w/1950307,3.9,Crémant de Loire L'Extra N.V.,-,France,Crémant de Loire,4114,71
18.5,Cave de Hunawihr Riesling Réserve,https://www.i-d-s.com/dubai/riesling-r-serve-cave-de-hunawihr-alsace-france-fr1330.html,france,/FR/en/chateau-des-cosse-reserve-du-marguis-cremant-de-loire-brut/w/9217133,4.1,Réserve du Marguis Cremant de Loire Brut,-,France,Crémant de Loire,507,41
