,Unnamed: 0,0,1,2,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,ratio
64,4,54.50,Remoissenet Père &amp; Fils Savigny Les Beaune 1er Cru Aux Serpentières,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-savigny-les-beaune-1er-cru-aux-serpenti-res-fr1298.html,france,https://www.vivino.com/FR/en/wines/161440594,4.1,Remoissenet Père \u0026 Fils Savigny-Lès-Beaune Premier Cru Les Guettes 0,-,-,-,-,3
65,5,43.00,"Domaine Cailbourdin, Pouilly-Fumé Les Cris",https://www.i-d-s.com/dubai/domaine-cailbourdin-pouilly-fum-les-cris-fr1309.html,france,https://www.vivino.com/FR/en/wines/1470230,3.9,Domaine A Cailbourdin Les Cris Pouilly-Fumé 0,—,france,pouilly-fume,2827,4
66,6,45.90,"Domaine Daniel-Etienne Defaix, Chablis Vieilles Vignes",https://www.i-d-s.com/dubai/domaine-daniel-etienne-defaix-chablis-vieilles-vignes-fr1305.html,france,-,-,-,-,-,-,-,0
67,7,984.40,"2016 Château Duhart-Milon Rothschild, 4eme Cru Classé, Pauillac",https://www.i-d-s.com/dubai/2016-ch-teau-duhart-milon-rothschild-4eme-cru-class-pauillac-fw1202.html,france,https://www.vivino.com/FR/en/wines/1500807,4.3,Château Duhart-Milon Pauillac (Grand Cru Classé) 0,—,france,pauillac,23989,4
68,8,27.70,Schröder and Schÿler Margaux Private Selection,https://www.i-d-s.com/dubai/schr-der-and-sch-ler-margaux-private-selection-fr1299.html,france,https://www.vivino.com/FR/en/wines/4869718,3.9,Schröder \u0026 Schÿler Private Selection Margaux 0,—,france,margaux,213,7
69,9,21.35,"JCB No. 21` Crémant de Bourgogne Brut, Jean-Charles Boisset",https://www.i-d-s.com/dubai/jcb-no-21-cr-mant-de-bourgogne-brut-jean-charles-boisset-sw1071.html,france,https://www.vivino.com/FR/en/wines/2170407,3.9,JCB (Jean-Charles Boisset) JCB No. 21 Brut (Burgundy) 0,—,france,cremant-de-bourgogne,1620,7
70,10,59.05,"Miraval, Côtes de Provence Rosé, Magnum",https://www.i-d-s.com/dubai/miraval-c-tes-de-provence-ros-magnum-fr4423.html,france,https://www.vivino.com/FR/en/wines/8902172,4.0,Miraval Côtes de Provence Rosé 0,—,france,cotes-de-provence,55138,5
71,11,82.30,Remoissenet Père &amp; Fils Pommard,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-pommard-fr4431.html,france,https://www.vivino.com/FR/en/wines/15869854,4.4,Remoissenet Père \u0026 Fils Pommard-Epenots Premier Cru 0,—,france,pommard-premier-cru,116,6
72,0,52.25,Remoissenet Père &amp; Fils Chablis 1er Cru Fourchaume,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-chablis-1er-cru-fourchaume-fr4427.html,france,https://www.vivino.com/FR/en/wines/143338047,4.2,Remoissenet Père \u0026 Fils Chablis Premier Cru Fourchaume 0,—,france,chablis-premier-cru,461,3
73,1,17.90,"Miraval, `Studio`Côtes de Provence Rosé",https://www.i-d-s.com/dubai/miraval-studio-c-tes-de-provence-ros-fr1287.html,france,https://www.vivino.com/FR/en/wines/159759902,3.8,Miraval Studio Rose 0,—,france,cotes-de-provence,13647,8
74,2,56.70,Perrier-Jouët Grand Brut,https://www.i-d-s.com/dubai/perrier-jou-t-grand-brut-cp1003.html,france,https://www.vivino.com/FR/en/wines/164942675,4.2,Perrier-Jouët Grand Brut Champagne 0,51.70,france,champagne,47381,5
75,3,45.75,Antoine Geoffroy Savigny Les Beaune ,https://www.i-d-s.com/dubai/savigny-les-beaune-antoine-geoffroy-fr4436.html,france,https://www.vivino.com/FR/en/wines/177284964,0.0,Antoine Geoffroy Vieilles Vignes Savigny-lès-Beaune 0,—,france,savigny-les-beaune,-,0
76,4,14.75,"M.Chapoutier, Côtes-du-Rhône Rouge Adunation, Collection Bio",https://www.i-d-s.com/dubai/m-chapoutier-c-tes-du-rh-ne-rouge-collection-bio-fr1278.html,france,https://www.vivino.com/FR/en/wines/3095609,3.5,M. Chapoutier Côtes-du-Rhône Collection Bio 0,—,france,cotes-du-rhone,2384,4
77,5,48.70,"M.Chapoutier, Châteauneuf-du-Pape, Collection Bio Rouge",https://www.i-d-s.com/dubai/m-chapoutier-ch-teauneuf-du-pape-collection-bio-rouge-fr1276.html,france,https://www.vivino.com/FR/en/wines/154656459,4.0,M. Chapoutier Châteauneuf-du-Pape Collection Bio 0,—,france,chateauneuf-du-pape,532,7
78,6,12.40,"Marius, Avenue de la Gare Syrah, IGP Collines Rhodaniennes",https://www.i-d-s.com/dubai/marius-avenue-de-la-gare-syrah-igp-collines-rhodaniennes-fr1275.html,france,https://www.vivino.com/FR/en/wines/169451999,3.7,M. Chapoutier Marius Avenue de la Gare Syrah 0,—,france,igp-collines-rhodaniennes,67,8
79,7,30.35,"M.Chapoutier, Saint-Joseph 'Deschants' Rouge",https://www.i-d-s.com/dubai/m-chapoutier-saint-joseph-deschants-rouge-fr1273.html,france,https://www.vivino.com/FR/en/wines/1497950,3.8,M. Chapoutier Saint-Joseph Deschants 0,24.14,france,saint-joseph,5458,5
80,8,49.40,"M.Chapoutier, Châteauneuf-du-Pape 'La Bernardine' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-ch-teauneuf-du-pape-la-bernardine-blanc-fr1272.html,france,https://www.vivino.com/FR/en/wines/1572945,4.0,M. Chapoutier Châteauneuf-du-Pape La Bernardine Blanc 0,—,france,chateauneuf-du-pape,1289,7
