,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
4,55.8,"Freemark Abbey Cabernet Sauvignon, Napa Valley",https://www.i-d-s.com/dubai/freemark-abbey-cabernet-sauvignon-napa-valley-us2051.html,usa,https://www.vivino.com/FR/en/wines/1493819,4.2,Freemark Abbey Cabernet Sauvignon 0,"330,00",united-states,napa-valley,11647,84,50 - 60 USD,90
5,37.9,"Gran Moraine Pinot Noir, Yamhill-Carlton",https://www.i-d-s.com/dubai/gran-moraine-pinot-noir-yamhill-carlton-us2145.html,usa,https://www.vivino.com/FR/en/wines/6603865,4.2,Gran Moraine Pinot Noir 0,—,united-states,yamhill,3205,74,30 - 40 USD,80
6,23.2,Wente Vineyards Charles Wetmore Cabernet Sauvignon,https://www.i-d-s.com/dubai/wente-vineyards-charles-wetmore-cabernet-sauvignon-us1032.html,usa,https://www.vivino.com/FR/en/wines/165019053,4.2,Wente Vineyards Charles Wetmore Reserve Cabernet Sauvignon 0,—,united-states,livermore-valley,37,91,20 - 30 USD,100
7,8.05,J.Baumer Riesling Auslese,https://www.i-d-s.com/dubai/j-baumer-riesling-auslese-dw4014.html,germany,https://www.vivino.com/FR/en/wines/168770670,4.2,Zeller Schnepfenflug Vom Zellertal Riesling Lieblich Auslese 0,—,germany,pfalz,1082,48,0 - 10 USD,50
8,44.3,Batlhasar Ress Rudesheim Berg Rottland Riesling Auslese,https://www.i-d-s.com/dubai/batlhasar-ress-rudesheim-berg-rottland-riesling-auslese-ge1013.html,germany,https://www.vivino.com/FR/en/wines/159803431,4.2,Balthasar Ress Rüdesheim Berg Rottland Riesling Auslese 0,—,germany,rheingau,68,95,40 - 50 USD,100
9,30.85,Tenuta di Arceno Il Fauno di Arcanum Toscana IGT,https://www.i-d-s.com/dubai/tenuta-di-arceno-il-fauno-di-arcanum-toscana-igt-it2014.html,italy,https://www.vivino.com/FR/en/wines/2225373,4.2,Arceno Arcanum Il Fauno di Arcanum 0,—,italy,tuscany,13916,67,30 - 40 USD,70
10,87.25,Castello Banfi Excelsus Toscana,https://www.i-d-s.com/dubai/castello-banfi-excelsus-toscana-it2016.html,italy,https://www.vivino.com/FR/en/wines/2064014,4.2,Banfi ExcelsuS 0,"55,20",italy,tuscany,4080,64,80 - 90 USD,70
11,19.25,Cà Dei Frati 'I Frati' Lugana,https://www.i-d-s.com/dubai/c-dei-frati-i-frati-lugana-it4026.html,italy,https://www.vivino.com/FR/en/wines/1779756,4.2,Cà dei Frati I Frati Lugana 0,"15,91",italy,lugana,55868,93,10 - 20 USD,100
0,37.55,Montresor Amarone della Valpolicella 'Satinato',https://www.i-d-s.com/dubai/montresor-amarone-della-valpolicella-satinato-it1029.html,italy,https://www.vivino.com/FR/en/wines/1485123,4.2,Montresor Amarone della Valpolicella 0,"18,00",italy,amarone-della-valpolicella,13844,87,30 - 40 USD,90
1,59.15,"Antinori, Marchese Chianti Classico Riserva DOCG",https://www.i-d-s.com/dubai/antinori-marchese-chianti-classico-riserva-docg-it1040.html,italy,https://www.vivino.com/FR/en/wines/2284661,4.2,Antinori Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 0,"44,98",italy,chianti-classico,51299,71,50 - 60 USD,80
