,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price bucket,confidence bucket
5,14.2,Bread &amp; Butter Cabernet Sauvignon,https://www.i-d-s.com/dubai/bread-butter-cabernet-sauvignon-us1015.html,usa,https://www.vivino.com/FR/en/wines/156654588,4,Bread \u0026 Butter Cabernet Sauvignon 0,-,-,-,-,83,less than 20 USD,90
6,15.55,"Santa Margherita, Chianti Classico DOCG",https://www.i-d-s.com/dubai/santa-margherita-chianti-classico-docg-it1076.html,italy,https://www.vivino.com/FR/en/wines/2485908,4,Santa Margherita Chianti Classico Riserva 0,—,italy,chianti-classico,8112,83,less than 20 USD,90
7,183.95,"Maison Antoine Geoffroy, Beaune, Puligny Montrachet 1Er Cru Les Combettes ",https://www.i-d-s.com/dubai/maison-antoine-geoffroy-beaune-puligny-montrachet-1er-cru-les-combettes-fr1307.html,france,https://www.vivino.com/FR/en/wines/174845339,0,Antoine Geoffroy Puligny-Montrachet 1er Cru 'Les Combettes' 0,—,france,puligny-montrachet-les-combettes,83,84,less than 190 USD,90
8,33.7,"Chateau Mancèdre Le Trettin, Pessac Leognan",https://www.i-d-s.com/dubai/chateau-manc-dre-le-trettin-pessac-leognan-fr1238.html,france,https://www.vivino.com/FR/en/wines/174476761,0,Château Mancèdre Le Trettin Pessac-Léognan Blanc 0,—,france,pessac-leognan,-,84,less than 40 USD,90
9,11.3,"Chateau Pradeau-Mazeau Cuvée Prestige Rosé, Bordeaux",https://www.i-d-s.com/dubai/chateau-pradeau-mazeau-cuv-e-prestige-rose-bordeaux-fr1174.html,france,https://www.vivino.com/FR/en/wines/160835579,0,Château Pradeau Mazeau Cuvée Prestige Bordeaux Rosé 0,—,france,bordeaux,-,84,less than 20 USD,90
10,12.95,Château de Belleverne Beaujolais Villages,https://www.i-d-s.com/dubai/ch-teau-de-belleverne-beaujolais-villages-fr1081.html,france,https://www.vivino.com/FR/en/wines/128179539,3.8,Château de Belleverne Beaujolais Villages La Basse-Cour 0,—,france,beaujolais-villages,295,84,less than 20 USD,90
11,14.55,Small Victories Pinot Gris,https://www.i-d-s.com/dubai/small-victories-pinot-gris-au1110.html,australia,https://www.vivino.com/FR/en/wines/169148597,0,Small Victories Wine Co Pinot Gris 0,—,australia,adelaide-hills,-,84,less than 20 USD,90
0,14.55,Small Victories Sangiovese,https://www.i-d-s.com/dubai/small-victories-sangiovese-au1108.html,australia,https://www.vivino.com/FR/en/wines/169969575,3.7,Small Victories Wine Co Sangiovese 0,—,australia,adelaide-hills,28,84,less than 20 USD,90
1,8.3,Douglass Hill Chardonnay,https://www.i-d-s.com/dubai/douglass-hill-chardonnay-us1003.html,usa,https://www.vivino.com/FR/en/wines/4806674,3.3,Douglass Hill Winery Chardonnay 0,—,united-states,california,425,84,less than 10 USD,90
2,23.65,Fontafredda Briccotondo Piemonte Barbera ,https://www.i-d-s.com/dubai/fontafredda-briccotondo-barbera-it4040.html,italy,https://www.vivino.com/FR/en/wines/2016173,3.6,Fontanafredda Briccotondo Barbera 0,—,italy,piedmont,19495,84,less than 30 USD,90
3,23.6,Château De Plaisance Coteaux De Layon 1Er Cru Chaume,https://www.i-d-s.com/dubai/ch-teau-de-plaisance-coteaux-de-layon-1er-cru-chaume-fr4021.html,france,https://www.vivino.com/FR/en/wines/1736843,4.3,Château de Plaisance Les Zerzilles Coteaux du Layon 1er Cru Chaume 0,—,france,coteaux-du-layon-chaume,121,85,less than 30 USD,90
4,8.15,Baron Philippe de Rothschild Pinot Noir,https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-pinot-noir-fr1026.html,france,https://www.vivino.com/FR/en/wines/1476766,3.4,Baron Philippe de Rothschild Les Cépages Pinot Noir 0,—,france,vin-de-pays-doc,6682,85,less than 10 USD,90
0,10.7,Schröder and Schÿler Private Réserve Medoc,https://www.i-d-s.com/dubai/schr-der-and-sch-ler-private-r-serve-medoc-fr1043.html,france,https://www.vivino.com/FR/en/wines/4869725,3.6,Schröder \u0026 Schÿler Private Réserve Médoc 0,—,france,medoc,584,85,less than 20 USD,90
1,7.95,"Casillero del Diablo, Sauvignon Blanc",https://www.i-d-s.com/dubai/casillero-del-diablo-sauvignon-blanc-ch1011.html,chile,https://www.vivino.com/FR/en/wines/1482537,3.4,Casillero del Diablo Sauvignon Blanc (Reserva) 0,—,chile,casablanca-valley,27812,85,less than 10 USD,90
2,7.95,Casillero del Diablo Shiraz Rosé,https://www.i-d-s.com/dubai/casillero-del-diablo-shiraz-ros-ch1012.html,chile,https://www.vivino.com/FR/en/wines/1513851,3.5,Casillero del Diablo Shiraz (Reserva) 0,8.96,chile,central-valley,21218,85,less than 10 USD,90
3,23.15,"Kendall-Jackson Vintner's Reserve Merlot, Sonoma County",https://www.i-d-s.com/dubai/kendall-jackson-vintner-s-reserve-merlot-california-us2200.html,usa,https://www.vivino.com/FR/en/wines/1964483,3.7,Kendall-Jackson Vintner's Reserve Merlot 0,—,united-states,sonoma-county,6904,85,less than 30 USD,90
4,9.05,"Cabaret Frank No.2 ""The Aviary"", Old Vine Cabernet Franc",https://www.i-d-s.com/dubai/cabaret-frank-no-2-the-aviary-old-vine-cabernet-franc-us1021.html,usa,https://www.vivino.com/FR/en/wines/11324517,3.7,Cabaret Frank No. 2 The Aviary Cabernet Franc 0,—,united-states,california,1183,85,less than 10 USD,90
5,77.65,"Tenuta Argiano, Brunello di Montalcino ",https://www.i-d-s.com/dubai/tenuta-argiano-brunello-di-montalcino-it1074.html,italy,https://www.vivino.com/FR/en/wines/1482363,4.3,Tenuta CastelGiocondo Brunello di Montalcino 0,47.17,italy,brunello-di-montalcino,55553,85,less than 80 USD,90
6,28.4,"Prunotto, Occhetti Langhe, Nebbiolo, Piedmont",https://www.i-d-s.com/dubai/prunotto-occhetti-langhe-nebbiolo-piedmont-it1024.html,italy,https://www.vivino.com/FR/en/wines/158603121,3.9,Prunotto Occhetti Langhe Nebbiolo 0,23,italy,langhe,4214,85,less than 30 USD,90
7,9.2,Miguel Torres Sangre de Toro,https://www.i-d-s.com/dubai/miguel-torres-sangre-de-toro-sp1012.html,spain,https://www.vivino.com/FR/en/wines/2253999,3.5,Familia Torres Sangre de Toro 0,—,spain,comunidad-autnoma-de-catalua,39152,85,less than 10 USD,90
8,28.85,Merum Priorati Ardiles Priorat,https://www.i-d-s.com/dubai/merum-priorati-ardiles-priorat-sp1011.html,spain,https://www.vivino.com/FR/en/wines/2841614,4.1,Merum Priorati Ardiles 0,—,spain,priorat,1759,85,less than 30 USD,90
9,8.85,Calusari Pinot Noir,https://www.i-d-s.com/dubai/calusari-pinot-noir-ro1001.html,rest-of-the-world,https://www.vivino.com/FR/en/wines/1652687,3.6,Călușari Pinot Noir 0,—,romania,recas,3055,85,less than 10 USD,90
10,9.25,"M.Chapoutier, Luberon 'La Ciboise' Rouge",https://www.i-d-s.com/dubai/m-chapoutier-luberon-la-ciboise-rouge-fr1279.html,france,https://www.vivino.com/FR/en/wines/1471076,3.6,M. Chapoutier Luberon La Ciboise 0,8.68,france,luberon,5088,86,less than 10 USD,90
11,31.45,Château De Valois Cuvée Louise,https://www.i-d-s.com/dubai/ch-teau-de-valois-cuv-e-louise-fr4121.html,france,https://www.vivino.com/FR/en/wines/160075470,4.3,Château de Valois Cuvée Louise Pomerol 0,—,france,pomerol,39,86,less than 40 USD,90
0,14,"Chateau Turcaud, Entre deux Mers Blanc AOC",https://www.i-d-s.com/dubai/chateau-turcaud-entre-deux-mers-blanc-aoc-fr1222.html,france,https://www.vivino.com/FR/en/wines/4940296,3.8,Château Turcaud Entre-Deux-Mers Blanc 0,13,france,entre-deux-mers,1885,86,less than 20 USD,90
1,22.5,"Emotion de Provence Prestige, Coteaux Varois Rosé",https://www.i-d-s.com/dubai/emotion-de-provence-prestige-coteaux-varois-ros-fr1173.html,france,https://www.vivino.com/FR/en/wines/170266353,0,Emotion de Provence Prestige Coteaux Varois en Provence Rosé 0,—,france,coteaux-varoix-en-provence,-,86,less than 30 USD,90
